"","Term","Freq","id","class"
"1","スタジアム",1,240,"b"
"2","ソフトバンク・バンデンハーク",1,240,"b"
"3","フランスア",1,240,"b"
"4","ロッテ・ボルシンガー",1,240,"b"
"5","則",1,240,"b"
"6","斗",1,240,"b"
"7","楽天",1,240,"b"
"8","輔",1,240,"b"
"9","己",1,240,"b"
"10","オリックス",1,240,"b"
"11","ガルシア",1,240,"b"
"12","セ・リーグ",1,240,"b"
"13","パ・リーグ",1,240,"b"
"14","マツダ",1,240,"b"
"15","メットライフドーム",1,240,"b"
"16","ヤクルト",1,240,"b"
"17","ヤフオクドーム",1,240,"b"
"18","三郎",1,240,"b"
"19","上原",1,240,"b"
"20","中日",1,240,"b"
"21","健太",1,240,"b"
"22","多和田",1,240,"b"
"23","小野",1,240,"b"
"24","山岡",1,240,"b"
"25","巨人",1,240,"b"
"26","広島",1,240,"b"
"27","日本ハム",1,240,"b"
"28","昂",1,240,"b"
"29","本",1,240,"b"
"30","泰",2,240,"b"
"31","浜口",1,240,"b"
"32","田口",1,240,"b"
"33","由",1,240,"b"
"34","甲子園",1,240,"b"
"35","真",1,240,"b"
"36","神宮",1,240,"b"
"37","神戸",1,240,"b"
"38","西武",1,240,"b"
"39","規",1,240,"b"
"40","遥",1,240,"b"
"41","阪神",1,240,"b"
"42","麗",1,240,"b"
"43","ＤｅＮＡ",1,240,"b"
"44","大",2,240,"b"
"45","時",6,240,"b"
"46","１",6,240,"b"
"47","４",5,240,"b"
"48","８",1,240,"b"
"49","れる",2,239,"b"
"50","する",3,239,"b"
"51","受ける",1,239,"b"
"52","痛める",1,239,"b"
"53","要する",1,239,"b"
"54","出場",1,239,"b"
"55","帰",1,239,"b"
"56","復帰",1,239,"b"
"57","抹消",1,239,"b"
"58","検査",1,239,"b"
"59","登録",1,239,"b"
"60","診断",1,239,"b"
"61","骨折",2,239,"b"
"62","ジュリスベル・グラシアル",1,239,"b"
"63","ヤフオク",1,239,"b"
"64","位",1,239,"b"
"65","内野",1,239,"b"
"66","塁",1,239,"b"
"67","左手",2,239,"b"
"68","市内",1,239,"b"
"69","病院",1,239,"b"
"70","節",1,239,"b"
"71","薬指",2,239,"b"
"72","見込み",1,239,"b"
"73","選手",1,239,"b"
"74","ソフトバンク",1,239,"b"
"75","福岡",1,239,"b"
"76","西武",1,239,"b"
"77","か月",1,239,"b"
"78","回",1,239,"b"
"79","戦",1,239,"b"
"80","手",1,239,"b"
"81","日",2,239,"b"
"82","部",1,239,"b"
"83","骨",1,239,"b"
"84","２",4,239,"b"
"85","３",1,239,"b"
"86","４",1,239,"b"
"87","５",1,239,"b"
"88","６",1,239,"b"
"89","ため",1,239,"b"
"90","中",1,239,"b"
"91","際",1,239,"b"
"92","する",3,238,"b"
"93","できる",1,238,"b"
"94","なる",1,238,"b"
"95","並べる",1,238,"b"
"96","勝つ",1,238,"b"
"97","封じる",1,238,"b"
"98","打ち砕く",1,238,"b"
"99","見せる",1,238,"b"
"100","負ける",1,238,"b"
"101","迎える",1,238,"b"
"102","いる",1,238,"b"
"103","くる",1,238,"b"
"104","オーダー",1,238,"b"
"105","一戦",1,238,"b"
"106","先発",1,238,"b"
"107","勝利",1,238,"b"
"108","浮上",1,238,"b"
"109","防御",1,238,"b"
"110","－",1,238,"b"
"111","エース",1,238,"b"
"112","カギ",1,238,"b"
"113","タイ",1,238,"b"
"114","一塁",2,238,"b"
"115","三塁",2,238,"b"
"116","中堅",2,238,"b"
"117","二塁",2,238,"b"
"118","伝統",1,238,"b"
"119","右",1,238,"b"
"120","右翼",2,238,"b"
"121","岩",2,238,"b"
"122","左翼",2,238,"b"
"123","打線",2,238,"b"
"124","打者",1,238,"b"
"125","投手",2,238,"b"
